word,definition,part of speech
pugnacious,"quarrelsome, combative (Aaron’s pugnacious nature led him to start several barroom brawls each month.)",adj.
pulchritude,"physical beauty (Several of Shakespeare’s sonnets explore the pulchritude of a lovely young man.)",n.
punctilious,"eager to follow rules or conventions (Punctilious Bobby, hall monitor extraordinaire, insisted that his peers follow the rules.)",adj.
pungent,"having a pointed, sharp quality—often used to describe smells (The pungent odor in the classroom made Joseph lose his concentration during the test.)",adj.
punitive,"involving punishment (If caught smoking in the boys’ room, the punitiveresult is immediate expulsion from school.)",adj.
putrid,"rotten, foul (Those rotten eggs smell putrid.)Q",adj.
quagmire,"a difficult situation (We’d all like to avoid the kind of military quagmirecharacterized by the Vietnam War.)",n.
quaint,"charmingly old-fashioned (Hilda was delighted by the quaint bonnets she saw in Amish country.)",adj.
quandary,"a perplexed, unresolvable state (Carlos found himself in a quandary: should he choose mint chocolate chip or cookie dough?)",n.
quell,"to control or diffuse a potentially explosive situation (The skilled leader deftly quelled the rebellion.)",v.
querulous,"whiny, complaining (If deprived of his pacifier, young Brendan becomes querulous.)",adj.
quixotic,"idealistic, impractical (Edward entertained a quixotic desire to fall in love at first sight in a laundromat.)",adj.
quotidian,"daily (Ambika’s quotidian routines include drinking two cups of coffee in the morning.)R",adj.
rail,"to scold, protest (The professor railed against the injustice of the college’s tenure policy.)",v.
rancid,"having a terrible taste or smell (Rob was double-dog-dared to eat the rancid egg salad sandwich.)",adj.
rancor,"deep, bitter resentment (When Eileen challenged me to a fight, I could see the rancor in her eyes.)",n.
rapport,"mutual understanding and harmony (When Margaret met her paramour, they felt an instant rapport.)",n.
rash,"hasty, incautious (It’s best to think things over calmly and thoroughly, rather than make rash decisions.)",adj. 
raucous,"loud, boisterous (Sarah’s neighbors called the cops when her house party got too raucous.)",adj.
raze,"to demolish, level (The old tenement house was razed to make room for the large chain store.)",v.
rebuke,"to scold, criticize (When the cops showed up at Sarah’s party, they rebukedher for disturbing the peace.)",v.
recalcitrant,"defiant, unapologetic (Even when scolded, the recalcitrant young girl simply stomped her foot and refused to finish her lima beans.)",adj.
recapitulate,"to sum up, repeat (Before the final exam, the teacher recapitulated the semester’s material.)",v.
reciprocate,"to give in return (When Steve gave Samantha a sweater for Christmas, she reciprocated by giving him a kiss.)",v.
reclusive,"solitary, shunning society (Reclusive authors such as J.D. Salinger do not relish media attention and sometimes even enjoy holing up in remote cabins in the woods.)reconcile 1. (v.) to return to harmony (The feuding neighbors finally reconciled when one brought the other a delicious tuna noodle casserole.) 2. (v.) to make consistent with existing ideas (Alou had to reconcile his skepticism about the existence of aliens with the fact that he was looking at a flying saucer.)",adj.
rectitude,"uprightness, extreme morality (The priest’s rectitude gave him the moral authority to counsel his parishioners.)redoubtable 1. (adj.) formidable (The fortress looked redoubtable set against a stormy sky.) 2. (adj.) commanding respect (The audience greeted the redoubtable speaker with a standing ovation.)",n.
refract,"to distort, change (The light was refracted as it passed through the prism.)",v.
refurbish,"to restore, clean up (The dingy old chair, after being refurbished, commanded the handsome price of $200.)",v.
refute,"to prove wrong (Maria refuted the president’s argument as she yelled and gesticulated at the TV.)regurgitate 1. (v.) to vomit (Feeling sick, Chuck regurgitated his dinner.) 2. (v.) to throw back exactly (Margaret rushed through the test, regurgitating all of the facts she’d memorized an hour earlier.)relegate 1. (v.) to assign to the proper place (At the astrology conference, Simon was relegated to the Scorpio room.) 2. (v.) to assign to an inferior place (After spilling a drink on a customer’s shirt, the waiter found himself relegated to the least lucrative shift.)",v. 
relish,"to enjoy (Pete always relished his bedtime snack.)",v.
remedial,"intended to repair gaps in students’ basic knowledge (After his teacher discovered he couldn’t read, Alex was forced to enroll in remedial English.)",adj.
remiss,"negligent, failing to take care (The burglar gained entrance because the security guard, remiss in his duties, forgot to lock the door.)renovate 1. (v.) restore, return to original state (The renovated antique candelabra looked as good as new.) 2. (v.) to enlarge and make prettier, especially a house (After getting renovated, the house was twice as big and much more attractive.)",adj. 
renown,"honor, acclaim (The young writer earned international renown by winning the Pulitzer Prize.)",n.
renunciation,"to reject (Fiona’s renunciation of red meat resulted in weight loss, but confused those people who thought she’d been a vegetarian for years.)",n.
repentant,"penitent, sorry (The repentant Dennis apologized profusely for breaking his mother’s vase.)",adj.
replete,"full, abundant (The unedited version was replete with naughty words.)",adj.
repose,"to rest, lie down (The cat, after eating an entire can of tuna fish, reposed in the sun and took a long nap.)",v.
reprehensible,"deserving rebuke (Jean’s cruel and reprehensible attempt to dump her boyfriend on his birthday led to tears and recriminations.)",adj.
reprieve,"a temporary delay of punishment (Because the governor woke up in a particularly good mood, he granted hundreds of reprieves to prisoners.)",n.
reproach,"to scold, disapprove (Brian reproached the customer for failing to rewind the video he had rented.)",v.
reprobate,"evil, unprincipled (The reprobate criminal sat sneering in the cell.)",adj.
reprove,"to scold, rebuke (Lara reproved her son for sticking each and every one of his fingers into the strawberry pie.)",v.
repudiate,"to reject, refuse to accept (Kwame made a strong case for an extension of his curfew, but his mother repudiated it with a few biting words.) repulse 1. (v.) to disgust (Antisocial Annie tried to repulse people by neglecting to brush her teeth.) 2. (v.) to push back (With a deft movement of her wrist and a punch to the stomach, Lacy repulsed Jack’s attempt to kiss her.)",v.
reputable,"of good reputation (After the most reputable critic in the industry gave the novel a glowing review, sales took off.)",adj.
requisition,"a demand for goods, usually made by an authority (During the war, the government made a requisition of supplies.)",n.
rescind,"to take back, repeal (The company rescinded its offer of employment after discovering that Jane’s resume was full of lies.)reservoir 1. (n.) reserves, large supply (Igor the Indomitable had quite a reservoir of strengh and could lift ten tons, even after running 700 miles, jumping over three mountains, and swimming across an ocean.) 2. (n.) a body of water used for storing water (After graduation, the more rebellious members of the senior class jumped into the town reservoir used for drinking water.)",v.
resilient,"able to recover from misfortune; able to withstand adversity (The resilient ballplayer quickly recovered from his wrist injury.)",adj.
resolute,"firm, determined (With a resolute glint in her eye, Catherine announced that she was set on going to college in New York City even though she was a little frightened of tall buildings.)resolve 1. (v.) to find a solution (Sarah and Emma resolved their differences and shook hands.) 2. (v.) to firmly decide (Lady Macbeth resolved to whip her husband into shape.)",adj.
respite,"a break, rest (Justin left the pub to gain a brief respite from the smoke and noise.)",n.
resplendent,"shiny, glowing (The partygoers were resplendent in diamonds and fancy dress.)",adj.
restitution,"restoration to the rightful owner (Many people feel that descendants of slaves should receive restitution for the sufferings of their ancestors.)",n.
restive,"resistant, stubborn, impatient (The restive audience pelted the band with mud and yelled nasty comments.)",adj.
retract,"withdraw (As the media worked itself into a frenzy, the publicist hurriedly retracted his client’s sexist statement.)",v. 
revel,"to enjoy intensely (Theodore reveled in his new status as Big Man on Campus.)",v.
revere,"to esteem, show deference, venerate (The doctor saved countless lives with his combination of expertise and kindness and became universally revered.)",v.
revoke,"to take back (After missing the curfew set by the court for eight nights in a row, Marcel’s freedom of movement was revoked.)",v.
rhapsodize,"to engage in excessive enthusiasm (The critic rhapsodized about the movie, calling it an instant classic.)",v.
ribald,"coarsely, crudely humorous (While some giggled at the ribald joke involving a parson’s daughter, most sighed and rolled their eyes.)",adj.
rife,"abundant (Surprisingly, the famous novelist’s writing was rife with spelling errors.)",adj.
ruminate,"to contemplate, reflect (Terry liked to ruminate while sitting on the banks of the river, staring pensively into the water.)",v.
ruse,"a trick (Oliver concocted an elaborate ruse for sneaking out of the house to meet his girlfriend while simultaneously giving his mother the impression that he was asleep in bed.)S",n.
saccharine,"sickeningly sweet (Tom’s saccharine manner, although intended to make him popular, actually repelled his classmates.)",adj.
sacrosanct,"holy, something that should not be criticized (In the United States, the Constitution is often thought of as a sacrosanct document.)",adj.
sagacity,"shrewdness, soundness of perspective (With remarkable sagacity, the wise old man predicted and thwarted his children’s plan to ship him off to a nursing home.)",n.
salient,"significant, conspicuous (One of the salient differences between Alison and Nancy is that Alison is a foot taller.)",adj.
salutation,"a greeting (Andrew regularly began letters with the bizarre salutation“Ahoy ahoy.”)",n.
salve,"a soothing balm (After Tony applied a salve to his brilliant red sunburn, he soon felt a little better.)",n.
sanctimonious,"giving a hypocritical appearance of piety (The sanctimoniousBertrand delivered stern lectures on the Ten Commandments to anyone who would listen, but thought nothing of stealing cars to make some cash on the side.)",adj.
sanguine,"optimistic, cheery (Polly reacted to any bad news with a sanguine smile and the chirpy cry, “When life hands you lemons, make lemonade!”)",adj.
satiate,"to satisfy excessively (Satiated after eating far too much turkey and stuffing, Liza lay on the couch watching football and suffering from stomach pains.)",v.
scathing,"sharp, critical, hurtful (Two hours after breaking up with Russell, Suzanne thought of the perfect scathing retort to his accusations.)",adj.
scintillating,"sparkling (The ice skater’s scintillating rhinestone costume nearly blinded the judges.)",adj.
scrupulous,"painstaking, careful (With scrupulouscare, Sam cut a snowflake out of white paper.)",adj.
scurrilous,"vulgar, coarse (When Bruno heard the scurrilous accusation being made about him, he could not believe it because he always tried to be nice to everyone.)",adj.
sedentary,"sitting, settled (The sedentary cat did little but loll in the sun.)",adj.
semaphore,"a visual signal (Anne and Diana communicated with a semaphoreinvolving candles and window shades.)",n.
seminal,"original, important, creating a field (Stephen Greenblatt’s essays on Shakespeare proved to be seminal, because they initiated the critical school of New Historicism.)",adj.
sensual,"involving sensory gratification, usually related to sex (With a coy smile, the guest on the blind-date show announced that he considered himself a very sensual person.)",adj.
sensuous,"involving sensory gratification (Paul found drinking Coke, with all the little bubbles bursting on his tongue, a very sensuous experience.)",adj.
serendipity,"luck, finding good things without looking for them (In an amazing bit of serendipity, penniless Paula found a $20 bill in the subway station.)",n.
serene,"calm, untroubled (Louise stood in front of the Mona Lisa, puzzling over the famous woman’s serene smile.)",adj.
servile,"subservient (The servile porter crept around the hotel lobby, bowing and quaking before the guests.)",adj. 
sinuous,"lithe, serpentine (With the sinuous movements of her arms, the dancer mimicked the motion of a snake.)",adj.
sobriety,"sedate, calm (Jason believed that maintaining his sobriety in times of crisis was the key to success in life.)",n.
solicitous,"concerned, attentive (Jim, laid up in bed with a nasty virus, enjoyed the solicitous attentions of his mother, who brought him soup and extra blankets.)",adj.
solipsistic,"believing that oneself is all that exists (Colette’s solipsistic attitude completely ignored the plight of the homeless people on the street.)",adj.
soluble,"able to dissolve (The plot of the spy film revolved around an untraceable and water-soluble poison.)solvent 1. (n.) a substance that can dissolve other substances (Water is sometimes called the universal solvent because almost all other substances can dissolve into it.) 2. (adj.) able to pay debts (Upon receiving an unexpected check from her aunt, Annabelle found herself suddenly solvent.)",adj.
somnolent,"sleepy, drowsy (The somnolent student kept falling asleep and waking up with a jerk.)",adj.
sophomoric,"immature, uninformed (The mature senior rolled her eyes at the sophomoric gross-out humor of the underclassman.)",adj.
sovereign,"having absolute authority in a certain realm (The sovereign queen, with steely resolve, ordered that the traitorous nobleman be killed.)",adj.
speculative,"not based in fact (Sadly, Tessa was convicted on merely speculativeevidence.)",adj.
spurious,"false but designed to seem plausible (Using a spurious argument, John convinced the others that he had won the board game on a technicality.)",adj.
stagnate,"to become or remain inactive, not develop, not flow (With no room for advancement, the waiter’s career stagnated.)",v.
staid,"sedate, serious, self-restrained (The staid butler never changed his expression no matter what happened.)",adj.
stingy,"not generous, not inclined to spend or give (Scrooge’s stingy habits did not fit with the generous, giving spirit of Christmas.)",adj.
stoic,"unaffected by passion or feeling (Penelope’s faithfulness to Odysseus required that she be stoic and put off her many suitors.)",adj.
stolid,"expressing little sensibility, unemotional (Charles’s stolid reaction to his wife’s funeral differed from the passion he showed at the time of her death.)",adj.
strenuous,"requiring tremendous energy or stamina (Running a marathon is quite a strenuous task. So is watching an entire Star Trek marathon.)",adj.
strident,"harsh, loud (A strident man, Captain Von Trapp yelled at his daughter and made her cry.)",adj.
stupefy,"to astonish, make insensible (Veronica’s audacity and ungratefulness stupefied her best friend, Heather.)",v.
subjugate,"to bring under control, subdue (The invading force captured and subjugated the natives of that place.)",v.
sublime,"lofty, grand, exalted (The homeless man sadly pondered his former wealth and once sublime existence.)",adj.
submissive,"easily yielding to authority (In some cultures, wives are supposed to be submissive and support their husbands in all matters.)",adj.
succinct,"marked by compact precision (The governor’s succinct speech energized the crowd while the mayor’s rambled on and on.)",adj. 
superfluous,"exceeding what is necessary (Tracy had already won the campaign so her constant flattery of others was superfluous.)",adj.
surfeit,"an overabundant supply or indulgence (After partaking of the surfeit of tacos and tamales at the All-You-Can-Eat Taco Tamale Lunch Special, Beth felt rather sick.)",n.
surmise,"to infer with little evidence (After speaking to only one of the students, the teacher was able to surmise what had caused the fight.)",v.
surreptitious,"stealthy (The surreptitious CIA agents were able to get in and out of the house without anyone noticing.)",adj.
surrogate,"one acting in place of another (The surrogate carried the child to term for its biological parents.)",n.
swarthy,"of dark color or complexion (When he got drunk, Robinson’s white skin became rather swarthy.)",adj. 
sycophant,"one who flatters for self-gain (Some see the people in the cabinet as the president’s closest advisors, but others see them as sycophants.)T",n.
tacit,"expressed without words (I interpreted my parents’ refusal to talk as a tacitacceptance of my request.)",adj.
taciturn,"not inclined to talk (Though Jane never seems to stop talking, her brother is quite taciturn.)",adj.
tangential,"incidental, peripheral, divergent (I tried to discuss my salary, but the boss kept veering off into tangential topics.)",adj.
tantamount,"equivalent in value or significance (When it comes to sports, fearing your opponent is tantamount to losing.)",adj. 
tedious,"dull, boring (As time passed and the history professor continued to drone on and on, the lecture became increasingly tedious.)",adj.
temerity,"audacity, recklessness (Tom and Huck entered the scary cave armed with nothing but their own temerity.)",n.
temperance,"moderation in action or thought (Maintaining temperance will ensure that you are able to think rationally and objectively.)",n.
tenable,"able to be defended or maintained (The department heads tore down the arguments in other people’s theses, but Johari’s work proved to be quite tenable.)",adj.
tenuous,"having little substance or strength (Your argument is very tenuous, since it relies so much on speculation and hearsay.)",adj. 
terrestrial,"relating to the land (Elephants are terrestrial animals.)",adj.
timorous,"timid, fearful (When dealing with the unknown, timorous Tallulah almost always broke into tears.)",adj.
tirade,"a long speech marked by harsh or biting language (Every time Jessica was late, her boyfriend went into a long tirade about punctuality.)",n.
toady,"one who flatters in the hope of gaining favors (The other kids referred to the teacher’s pet as the Tenth Grade Toady.)",n. 
tome,"a large book (In college, I used to carry around an anatomy book that was the heaviest tome in my bag.)",n.
torpid,"lethargic, dormant, lacking motion (The torpid whale floated, wallowing in the water for hours.)",adj.
torrid,"giving off intense heat, passionate (I didn’t want to witness the neighbor’s torrid affair through the window.)",adj.
tortuous,"winding (The scary thing about driving in mountains are the narrow, tortuous roads.)",adj.
tractable,"easily controlled (The horse was so tractable, Myra didn’t even need a bridle.)",adj.
tranquil,"calm (There is a time of night when nothing moves and everything is tranquil.)",adj.
transgress,"to violate, go over a limit (The criminal’s actions transgressed morality and human decency.)",v.
transient,"passing through briefly; passing into and out of existence (Because virtually everyone in Palm Beach is a tourist, the population of the town is quite transient.)",adj. 
transmute,"to change or alter in form (Ancient alchemists believed that it was possible to transmute lead into gold.)",v.
travesty,"a grossly inferior imitation (According to the school newspaper’s merciless theater critic, Pacific Coast High’s rendition of the musical Oklahoma was a travesty of the original.)",n.
tremulous,"fearful (I always feel a trifle tremulous when walking through a graveyard.)",adj.
trenchant,"effective, articulate, clear-cut (The directions that accompanied my new cell phone were trenchant and easy to follow.)",adj.
trepidation,"fear, apprehension (Feeling great trepidation, Anya refused to jump into the pool because she thought she saw a shark in it.)",n.
trite,"not original, overused (Keith thought of himself as being very learned, but everyone else thought he was trite because his observations about the world were always the same as David Letterman’s.)",adj.
truculent,"ready to fight, cruel (This club doesn’t really attract the dangerous types, so why was that bouncer being so truculent?)",adj. 
truncate,"to shorten by cutting off (After winning the derby, the jockey truncatedthe long speech he had planned and thanked only his mom and his horse.)",v.
turgid,"swollen, excessively embellished in style or language (The haughty writer did not realize how we all really felt about his turgid prose.)",adj.
turpitude,"depravity, moral corruption (Sir Marcus’s chivalry often contrasted with the turpitude he exhibited with the ladies at the tavern.)U",n.
ubiquitous,"existing everywhere, widespread (It seems that everyone in the United States has a television. The technology is ubiquitous here.)",adj.
umbrage,"resentment, offense (He called me a lily-livered coward, and I took umbrage at the insult.)",n.
uncanny,"of supernatural character or origin (Luka had an uncanny ability to know exactly what other people were thinking. She also had an uncanny ability to shoot fireballs from her hands.)",adj.
unctuous,"smooth or greasy in texture, appearance, manner (The unctuousreceptionist seemed untrustworthy, as if she was only being helpful because she thought we might give her a big tip.)",adj.
undulate,"to move in waves (As the storm began to brew, the placid ocean began to undulate to an increasing degree.)",v.
upbraid,"to criticize or scold severely (The last thing Lindsay wanted was for Lisa to upbraid her again about missing the rent payment.)",v.
usurp,"to seize by force, take possession of without right (The rogue army general tried to usurp control of the government, but he failed because most of the army backed the legally elected president.)",v.
utilitarian,"relating to or aiming at usefulness (The beautiful, fragile vase couldn’t hold flowers or serve any other utilitarian purpose.)",adj.
utopia,"an imaginary and remote place of perfection (Everyone in the world wants to live in a utopia, but no one can agree how to go about building one.)V",n.
vacillate,"to fluctuate, hesitate (I prefer a definite answer, but my boss kept vacillating between the distinct options available to us.)",v.
vacuous,"lack of content or ideas, stupid (Beyonce realized that the lyrics she had just penned were completely vacuous and tried to add more substance.)",adj.
validate,"to confirm, support, corroborate (Yoko’s chemistry lab partner was asleep during the experiment and could not validate the accuracy of her methods.)",v.
vapid,"lacking liveliness, dull (The professor’s comments about the poem were surprisingly vapid and dull.)",adj.
variegated,"diversified, distinctly marked (Each wire in the engineering exam was variegated by color so that the students could figure out which one was which.)",adj.
vehemently,"marked by intense force or emotion (The candidate vehementlyopposed cutting back on Social Security funding.)",adv.
veneer,"a superficial or deceptively attractive appearance, façade (Thanks to her Chanel makeup, Shannen was able to maintain a veneer of perfection that hid the flaws underneath.)",n.
venerable,"deserving of respect because of age or achievement (The venerableSupreme Court justice had made several key rulings in landmark cases throughout the years.)",adj.
venerate,"to regard with respect or to honor (The tribute to John Lennon sought to venerate his music, his words, and his legend.)",v.
veracity,"truthfulness, accuracy (With several agencies regulating the reports, it was difficult for Latifah to argue against its veracity.)",n.
verbose,"wordy, impaired by wordiness (It took the verbose teacher two hours to explain the topic, while it should have taken only fifteen minutes.)",adj.
verdant,"green in tint or color (The verdant leaves on the trees made the world look emerald.)",adj.
vestige,"a mark or trace of something lost or vanished (Do you know if the Mexican tortilla is a vestige of some form of Aztec corn-based flat bread?)",n.
vex,"to confuse or annoy (My little brother vexes me by poking me in the ribs for hours on end.)",v.
vicarious,"experiencing through another (All of my lame friends learned to be social through vicarious involvement in my amazing experiences.)",adj.
vicissitude,"event that occurs by chance (The vicissitudes of daily life prevent me from predicting what might happen from one day to the next.)",n.
vigilant,"watchful, alert (The guards remained vigilant throughout the night, but the enemy never launched the expected attack.)",adj.
vilify,"to lower in importance, defame (After the Watergate scandal, almost any story written about President Nixon sought to vilify him and criticize his behavior.)",v.
vindicate,"to avenge; to free from allegation; to set free (The attorney had no chance of vindicating the defendant with all of the strong evidence presented by the state.)",v.
vindictive,"vengeful (The vindictive madman seeks to exact vengeance for any insult that he perceives is directed at him, no matter how small.)",adj.
virtuoso,"one who excels in an art; a highly skilled musical performer (Even though Lydia has studied piano for many years, she’s only average at it. She’s no virtuoso, that’s for sure.)",n.
viscous,"not free flowing, syrupy (The viscous syrup took three minutes to pour out of the bottle.)",adj.
vitriolic,"having a caustic quality (When angry, the woman would spew vitriolicinsults.)",adj.
vituperate,"to berate (Jack ran away as soon as his father found out, knowing he would be vituperated for his unseemly behavior.)",v.
vivacious,"lively, sprightly (The vivacious clown makes all of the children laugh and giggle with his friendly antics.)",adj.
vocation,"the work in which someone is employed, profession (After growing tired of the superficial world of high-fashion, Edwina decided to devote herself to a new vocation: social work.)",n.
vociferous,"loud, boisterous (I’m tired of his vociferous whining so I’m breaking up with him.)W",adj.
wallow,"to roll oneself indolently; to become or remain helpless (My roommate can’t get over her breakup with her boyfriend and now just wallows in self-pity.)",v.
wane,"to decrease in size, dwindle (Don’t be so afraid of his wrath because his influence with the president is already beginning to wane.)",v.
wanton,"undisciplined, lewd, lustful (Vicky’s wanton demeanor often made the frat guys next door very excited.)",adj.
whimsical,"fanciful, full of whims (The whimsical little girl liked to pretend that she was an elvin princess.)",adj.
wily,"crafty, sly (Though they were not the strongest of the Thundercats, wily Kit and Kat were definitely the most clever and full of tricks.)",adj.
winsome,"charming, pleasing (After such a long, frustrating day, I was grateful for Chris’s winsome attitude and childish naivete.)",adj.
wistful,"full of yearning; musingly sad (Since her pet rabbit died, Edda missed it terribly and sat around wistful all day long.)",adj.
wizened,"dry, shrunken, wrinkled (Agatha’s grandmother, Stephanie, had the most wizened countenance, full of leathery wrinkles.)",adj.
wrath,"vengeful anger, punishment (Did you really want to incur her wrath when she is known for inflicting the worst punishments legally possible?)Y",n.
yoke,"to join, link (We yoked together the logs by tying a string around them.)Z",v.
zealous,"fervent, filled with eagerness in pursuit of something (If he were any more zealous about getting his promotion, he’d practically live at the office.)",adj.
zenith,"the highest point, culminating point (I was too nice to tell Nelly that she had reached the absolute zenith of her career with that one hit of hers.)",n.
zephyr,"a gentle breeze (If not for the zephyrs that were blowing and cooling us, our room would’ve been unbearably hot.)SAT Vocabulary",n.
